Id,Rule Name,Product,Severity,Status,Confidence,Category,Is Pro Rule,Semgrep Autotriage Result,Semgrep Autotriage Reason,Ai Impact,Ai Exploit Conditions,Semgrep File Risk Tag,Repository Name,Repository Url,Line Of Code Url,Semgrep Platform Link,Created At,Last Opened At,Branch,Triaged At,Triage Comment,Triage Reason,Rule Description
875690086,javascript.mongodb.node-mongodb-hardcoded-secret.node-mongodb-hardcoded-secret,Code,Medium,Open,High,security,False,,,,,,crmsaassaudi/crm-api,https://github.com/crmsaassaudi/crm-api,https://github.com/crmsaassaudi/crm-api/blob/3d3d721e73f4220de2956f040d9165903219761a/scratch/check-publication.js#L6,https://semgrep.dev/orgs/daitoan2000_personal_org/findings/875690086,2026-07-04 05:50:08.637617,2026-07-04 05:50:08.613764,refs/heads/main,,,,"A secret is hard-coded in the application. Secrets stored in source code, such as credentials, identifiers, and other types of sensitive data, can be leaked and used by internal or external malicious actors. Use environment variables to securely provide credentials and other secrets or retrieve them from a secure vault or Hardware Security Module (HSM)."
875690085,javascript.mongodb.node-mongodb-hardcoded-secret.node-mongodb-hardcoded-secret,Code,Medium,Open,High,security,False,,,,,Developer Scripts,crmsaassaudi/crm-api,https://github.com/crmsaassaudi/crm-api,https://github.com/crmsaassaudi/crm-api/blob/3d3d721e73f4220de2956f040d9165903219761a/scripts/drop-stale-index.js#L19,https://semgrep.dev/orgs/daitoan2000_personal_org/findings/875690085,2026-07-04 05:50:08.637600,2026-07-04 05:50:08.613759,refs/heads/main,,,,"A secret is hard-coded in the application. Secrets stored in source code, such as credentials, identifiers, and other types of sensitive data, can be leaked and used by internal or external malicious actors. Use environment variables to securely provide credentials and other secrets or retrieve them from a secure vault or Hardware Security Module (HSM)."
875690084,javascript.mongodb.node-mongodb-hardcoded-secret.node-mongodb-hardcoded-secret,Code,Medium,Open,High,security,False,,,,,Developer Scripts,crmsaassaudi/crm-api,https://github.com/crmsaassaudi/crm-api,https://github.com/crmsaassaudi/crm-api/blob/3d3d721e73f4220de2956f040d9165903219761a/test-db.js#L5,https://semgrep.dev/orgs/daitoan2000_personal_org/findings/875690084,2026-07-04 05:50:08.637582,2026-07-04 05:50:08.613754,refs/heads/main,,,,"A secret is hard-coded in the application. Secrets stored in source code, such as credentials, identifiers, and other types of sensitive data, can be leaked and used by internal or external malicious actors. Use environment variables to securely provide credentials and other secrets or retrieve them from a secure vault or Hardware Security Module (HSM)."
875690083,javascript.helmet.csp-misconfiguration.csp-misconfiguration,Code,Medium,Open,High,security,False,,,,,,crmsaassaudi/crm-api,https://github.com/crmsaassaudi/crm-api,https://github.com/crmsaassaudi/crm-api/blob/3d3d721e73f4220de2956f040d9165903219761a/src/main.ts#L49,https://semgrep.dev/orgs/daitoan2000_personal_org/findings/875690083,2026-07-04 05:50:08.637565,2026-07-04 05:50:08.613749,refs/heads/main,,,,"Untrusted input could be used to tamper with a web page rendering, which can lead to a Cross-site scripting (XSS) vulnerability. XSS vulnerabilities occur when untrusted input executes malicious JavaScript code, leading to issues such as account compromise and sensitive information leakage. To prevent this vulnerability, validate the user input, perform contextual output encoding or sanitize the input."
875690079,javascript.lang.security.audit.path-traversal.path-join-resolve-traversal.path-join-resolve-traversal,Code,Medium,Open,Low,security,False,,,,,,crmsaassaudi/crm-api,https://github.com/crmsaassaudi/crm-api,https://github.com/crmsaassaudi/crm-api/blob/3d3d721e73f4220de2956f040d9165903219761a/src/ai-video/services/video-compositor.service.ts#L32,https://semgrep.dev/orgs/daitoan2000_personal_org/findings/875690079,2026-07-04 05:50:08.637496,2026-07-04 05:50:08.613728,refs/heads/main,,,,"Detected possible user input going into a `path.join` or `path.resolve` function. This could possibly lead to a path traversal vulnerability,  where the attacker can access arbitrary files stored in the file system. Instead, be sure to sanitize or validate user input first."
875690078,javascript.lang.security.audit.path-traversal.path-join-resolve-traversal.path-join-resolve-traversal,Code,Medium,Open,Low,security,False,,,,,,crmsaassaudi/crm-api,https://github.com/crmsaassaudi/crm-api,https://github.com/crmsaassaudi/crm-api/blob/3d3d721e73f4220de2956f040d9165903219761a/src/ai-video/services/video-compositor.service.ts#L36,https://semgrep.dev/orgs/daitoan2000_personal_org/findings/875690078,2026-07-04 05:50:08.637479,2026-07-04 05:50:08.613722,refs/heads/main,,,,"Detected possible user input going into a `path.join` or `path.resolve` function. This could possibly lead to a path traversal vulnerability,  where the attacker can access arbitrary files stored in the file system. Instead, be sure to sanitize or validate user input first."
875690077,javascript.lang.security.audit.path-traversal.path-join-resolve-traversal.path-join-resolve-traversal,Code,Medium,Open,Low,security,False,,,,,,crmsaassaudi/crm-api,https://github.com/crmsaassaudi/crm-api,https://github.com/crmsaassaudi/crm-api/blob/3d3d721e73f4220de2956f040d9165903219761a/src/ai-video/services/video-compositor.service.ts#L36,https://semgrep.dev/orgs/daitoan2000_personal_org/findings/875690077,2026-07-04 05:50:08.637462,2026-07-04 05:50:08.613717,refs/heads/main,,,,"Detected possible user input going into a `path.join` or `path.resolve` function. This could possibly lead to a path traversal vulnerability,  where the attacker can access arbitrary files stored in the file system. Instead, be sure to sanitize or validate user input first."
875690076,javascript.lang.security.audit.path-traversal.path-join-resolve-traversal.path-join-resolve-traversal,Code,Medium,Open,Low,security,False,,,,,,crmsaassaudi/crm-api,https://github.com/crmsaassaudi/crm-api,https://github.com/crmsaassaudi/crm-api/blob/3d3d721e73f4220de2956f040d9165903219761a/src/ai-video/services/video-compositor.service.ts#L40,https://semgrep.dev/orgs/daitoan2000_personal_org/findings/875690076,2026-07-04 05:50:08.637445,2026-07-04 05:50:08.613712,refs/heads/main,,,,"Detected possible user input going into a `path.join` or `path.resolve` function. This could possibly lead to a path traversal vulnerability,  where the attacker can access arbitrary files stored in the file system. Instead, be sure to sanitize or validate user input first."
875690075,javascript.lang.security.audit.path-traversal.path-join-resolve-traversal.path-join-resolve-traversal,Code,Medium,Open,Low,security,False,,,,,,crmsaassaudi/crm-api,https://github.com/crmsaassaudi/crm-api,https://github.com/crmsaassaudi/crm-api/blob/3d3d721e73f4220de2956f040d9165903219761a/src/ai-video/services/video-compositor.service.ts#L116,https://semgrep.dev/orgs/daitoan2000_personal_org/findings/875690075,2026-07-04 05:50:08.637428,2026-07-04 05:50:08.613707,refs/heads/main,,,,"Detected possible user input going into a `path.join` or `path.resolve` function. This could possibly lead to a path traversal vulnerability,  where the attacker can access arbitrary files stored in the file system. Instead, be sure to sanitize or validate user input first."
875690074,javascript.lang.security.audit.path-traversal.path-join-resolve-traversal.path-join-resolve-traversal,Code,Medium,Open,Low,security,False,,,,,,crmsaassaudi/crm-api,https://github.com/crmsaassaudi/crm-api,https://github.com/crmsaassaudi/crm-api/blob/3d3d721e73f4220de2956f040d9165903219761a/src/common/export/export-storage.service.ts#L248,https://semgrep.dev/orgs/daitoan2000_personal_org/findings/875690074,2026-07-04 05:50:08.637410,2026-07-04 05:50:08.613702,refs/heads/main,,,,"Detected possible user input going into a `path.join` or `path.resolve` function. This could possibly lead to a path traversal vulnerability,  where the attacker can access arbitrary files stored in the file system. Instead, be sure to sanitize or validate user input first."
875690073,javascript.lang.security.audit.path-traversal.path-join-resolve-traversal.path-join-resolve-traversal,Code,Medium,Open,Low,security,False,,,,,,crmsaassaudi/crm-api,https://github.com/crmsaassaudi/crm-api,https://github.com/crmsaassaudi/crm-api/blob/3d3d721e73f4220de2956f040d9165903219761a/src/common/import/import-report.service.ts#L44,https://semgrep.dev/orgs/daitoan2000_personal_org/findings/875690073,2026-07-04 05:50:08.637393,2026-07-04 05:50:08.613696,refs/heads/main,,,,"Detected possible user input going into a `path.join` or `path.resolve` function. This could possibly lead to a path traversal vulnerability,  where the attacker can access arbitrary files stored in the file system. Instead, be sure to sanitize or validate user input first."
